[2020-03-02 16:13:48,085] [19168] [24556] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:13:59,534] [19016] [25076] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:14:36,921] [20612] [21508] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:15:44,702] [21500] [26556] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:16:37,283] [16712] [8796] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:16:43,251] [10268] [12420] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:16:53,981] [24168] [20912] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:17:02,827] [12924] [22848] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:17:14,868] [24104] [15472] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:17:38,944] [19592] [25256] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:18:26,162] [17264] [12060] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:18:39,475] [24680] [13700] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:18:48,167] [26088] [23416] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:19:17,035] [21924] [14948] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:19:30,176] [13184] [17512] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-02 16:31:51,861] [11548] [25840] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-03 09:24:00,337] [5896] [17096] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-03 09:24:17,982] [15456] [3352] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-03 09:24:32,699] [25872] [9852] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-03 09:24:55,612] [24852] [18340] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-03 09:25:13,626] [18064] [3256] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-03 09:30:02,832] [24816] [24976] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-03 09:30:55,368] [16116] [21420] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-03 09:31:10,703] [18952] [16856] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
[2020-03-03 09:31:55,412] [15212] [18948] [             node.py] [line:  41] [INFO  ] service configs is {'default': {'log_file': 'D:\\workspace\\WSPython\\wspaas\\logs\\node.log', 'log_level': 'DEBUG'}, 'agent': {'work_path': '/opt/agent', 'pickle_file': 'agent.bin'}, 'service': {'work_path': '/opt/service', 'pickle_file': 'service.bin'}, 'DEFAULT': {}}
